amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Worst_Date,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,Fund_Score
120505,0.3035341170540422,0.30206534630200976,,1.1801011976606495,2.0293529404657464,0.2926358334175106,0.000549004250631731,-0.18188513572116294,2025-01-23,1.36,ICICI Pru Midcap Fund - Regular - Growth,0.9,0.9,0.95,0.65,0.625,100.0
100033,0.4773458959806238,0.3362921056230763,,1.0936987435346308,1.8291339615146942,0.2719535450128533,0.005103525830528313,-0.16217208574644848,2022-05-12,1.38,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.975,0.85,0.875,0.6,0.5,97.0414201183432
119094,0.30918202012534524,0.3606601747719518,,0.9982309868636414,1.7037974802463003,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,2022-08-11,1.38,Axis Midcap Fund - Regular - Growth,1.0,0.75,0.8,0.6,0.7,95.56213017751479
119598,0.8453224636924352,0.27814418371202754,,0.9453082575156093,1.6753165700125516,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,2025-05-14,1.43,SBI Small Cap Fund - Regular Plan - Growth,0.85,0.675,1.0,0.5,0.9,93.34319526627219
148567,0.1458071475984759,0.3127857318272198,,1.4482911703262595,2.385644373368818,0.2698375144191807,0.023683558075848616,-0.11265729075028275,2023-10-20,1.46,Mirae Asset Large Cap Fund - Regular - Growth,0.925,1.0,0.85,0.45,0.2,92.89940828402366
120843,0.2848107293384283,0.2566188265022562,,1.3067439695428407,2.364320032166718,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,2022-04-13,1.45,Kotak Flexicap Fund - Regular - Growth,0.775,0.975,0.9,0.475,0.325,89.94082840236686
149324,0.6208181174018113,0.25029675402929885,,0.9497958246616031,1.619793176491409,0.3005787817097677,0.011455159960520695,-0.31171900300634214,2025-01-03,1.52,DSP Small Cap Fund - Regular - Growth,0.75,0.7,0.975,0.3625,0.925,87.79585798816568
120504,0.11500730028249406,0.28369809430069837,,1.0265242847993004,1.8052937940992548,0.2119482701352573,0.016232169761417024,-0.12588275606922517,2023-05-30,0.8,ICICI Pru Bluechip Fund - Direct - Growth,0.875,0.775,0.7,0.725,0.3,86.98224852071006
119551,0.48883881388717176,0.27727427651752534,,1.2082665673727175,2.140267129061793,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,2024-02-05,1.54,SBI Bluechip Fund - Regular Plan - Growth,0.825,0.925,0.775,0.2625,0.425,84.68934911242604
148569,0.4446574419216476,0.23317122535147572,,1.2349300257743296,2.1469139263460555,0.2827036785246582,0.01813388408385925,-0.1639674294693263,2023-10-20,1.6,Mirae Asset Tax Saver Fund - Regular - Growth,0.7,0.95,0.925,0.1125,0.525,83.06213017751479
101206,0.4509392715300502,0.32528591355184844,,1.0272133278753697,1.7995628746984524,0.21399784776051212,0.02108631625012804,-0.11291596329323073,2023-07-05,1.6,ABSL Frontline Equity Fund - Regular - Growth,0.95,0.8,0.725,0.1125,0.225,79.21597633136095
149323,0.22305604128077272,0.24242464971409516,,1.1321218524747245,1.875101063919208,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,2022-10-24,1.61,DSP Midcap Fund - Regular - Growth,0.725,0.875,0.825,0.075,0.55,78.99408284023669
118632,0.21776763418747302,0.18088593620415083,,1.0816591793457044,1.8501325468557264,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,2024-07-19,1.51,Nippon India Large Cap Fund - Regular - Growth,0.6,0.825,0.75,0.4125,0.575,77.58875739644971
119552,0.08251685485100624,0.15383382573944893,,0.9532794968660103,1.609776489628308,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,2024-09-02,0.66,SBI Bluechip Fund - Direct Plan - Growth,0.45,0.725,0.65,0.925,0.275,72.48520710059172
118633,0.28406736513935327,0.18128823270614958,,0.6452074382933215,1.1544757169236237,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,2024-02-29,0.72,Nippon India Large Cap Fund - Direct - Growth,0.625,0.5,0.475,0.8875,0.65,71.6715976331361
125497,0.2934732237752924,0.1770571225538371,,0.7757902498211207,1.3306512447571366,0.17729754927531766,0.048820404259577385,-0.15200013055606398,2025-01-01,0.92,HDFC Top 100 Fund - Direct Plan - Growth,0.575,0.575,0.625,0.675,0.45,69.5266272189349
120506,0.3289620693417177,0.18246287427399865,,0.6488787755249532,1.0958951614736467,0.1625385327998104,0.04189646272811975,-0.1982565826298267,2023-08-14,1.41,ICICI Pru Value Discovery Fund - Regular - Growth,0.65,0.525,0.525,0.55,0.675,68.78698224852072
119093,0.19794246952869954,0.20575450839484977,,0.12961449795669325,0.22108683979276347,0.08232801295222093,0.02588321244009315,-0.21751396370148224,2023-05-22,0.75,Axis Bluechip Fund - Direct - Growth,0.675,0.3,0.325,0.825,0.775,64.3491124260355
102887,0.1272785953848785,0.2566304169554934,,0.6195175900829828,1.0887552508030014,0.16211256794033255,0.016682689437770806,-0.21539827112383225,2022-07-04,1.64,UTI Flexi Cap Fund - Regular - Growth,0.8,0.475,0.5,0.0375,0.75,63.83136094674556
148568,0.1049631940675948,0.13077495792463978,,0.9262873467360146,1.6327409778735162,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,2024-01-24,1.52,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.4,0.65,0.675,0.3625,0.475,61.46449704142012
120503,0.04807407420549259,0.1480416951560286,,0.7979728586052847,1.3379431500669237,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,2023-11-09,1.42,ICICI Pru Bluechip Fund - Regular - Growth,0.425,0.6,0.6,0.525,0.35,60.502958579881664
118635,0.21995365120873123,0.16236841860639406,,0.6648569985490619,1.137976718780742,0.1513635464823924,-0.001433521389780139,-0.1165062450540909,2022-06-09,0.89,Nippon India ETF Nifty 50 BeES,0.475,0.55,0.45,0.7,0.25,59.171597633136095
102885,0.18318548216870223,0.17520119946365442,,0.8170993373494368,1.4357420130649492,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,2022-03-29,1.57,UTI Nifty 50 Index Fund - Regular - Growth,0.55,0.625,0.55,0.175,0.175,56.213017751479285
125498,0.16670899216585977,0.12492937768565682,,0.3006119210425478,0.508812819716923,0.11989100971217971,0.009054412621739139,-0.21117279560132118,2025-09-12,0.78,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.375,0.35,0.375,0.775,0.725,54.88165680473372
118634,0.2236521211328215,0.0758063522976058,,0.4484340089089914,0.7460146308533572,0.1750072167561127,0.10349663691337589,-0.2334488614483311,2026-02-20,1.53,Nippon India Small Cap Fund - Regular - Growth,0.325,0.375,0.575,0.3125,0.8,51.25739644970414
120841,0.18155118861657193,0.16684258851596145,,0.49427253786723496,0.8625738849916581,0.13042924450705445,0.0363563990221998,-0.1757361416468729,2025-02-14,1.59,Kotak Bluechip Fund - Regular - Growth,0.525,0.425,0.4,0.15,0.6,50.44378698224852
149322,0.1912760461187113,0.16528044392382957,,0.4640374492204777,0.7621288703723165,0.13173190226099432,-0.004050271130006511,-0.14844576917771746,2022-02-04,1.54,DSP Top 100 Equity Fund - Regular - Growth,0.5,0.4,0.425,0.2625,0.4,49.03846153846153
120507,0.07014400079311978,0.07051904540600296,,0.4957233929533124,1.0521238822609293,0.06746210411099539,-0.0004440926329707226,-0.0009773140045925555,2025-10-20,0.74,ICICI Pru Liquid Fund - Regular - Growth,0.3,0.45,0.25,0.85,0.025,45.26627218934911
120842,0.18605448815462422,0.10040620430039637,,0.07599984804658917,0.12469346986475664,0.0780443887615508,0.018056874208118162,-0.24003511326274884,2024-10-17,1.56,Kotak Emerging Equity Fund - Regular - Growth,0.35,0.275,0.3,0.2,0.825,40.976331360946745
